customer_id,bill_date,amount_due,payment_status,data_usage_gb,call_minutes,sms_count,promo_applied
C0601,2025-04-08,69.94,Paid,16.67,354,197,True
C0410,2025-04-05,115.39,Paid,22.54,409,184,False
C0589,2025-04-05,182.63,Paid,17.08,421,3,True
C0448,2024-10-14,77.0,Overdue,62.69,90,12,True
C0828,2024-08-28,95.65,Paid,83.31,293,37,False
C0690,2024-09-03,104.64,Due,29.89,50,200,False
C0395,2024-08-19,42.8,Overdue,3.95,4,34,False
C0173,2025-04-04,53.5,Paid,26.85,145,74,False
C0564,2024-07-17,53.86,Paid,26.14,278,113,False
C0832,2024-06-17,164.66,Paid,27.29,302,53,False
C0272,2024-07-19,155.45,Due,87.6,438,140,False
C0604,2024-09-28,139.25,Overdue,8.97,369,33,False
C0930,2025-03-17,43.99,Overdue,7.8,25,194,False
C0320,2024-06-13,43.06,Due,63.03,4,192,True
C0302,2024-08-26,32.5,Due,60.14,428,27,True
C0055,2024-06-10,125.1,Paid,60.19,328,67,True
C0326,2024-06-27,96.82,Overdue,56.41,373,105,True
C0735,2024-10-20,34.95,Overdue,39.77,351,63,False
C0635,2025-03-12,92.11,Overdue,37.63,71,194,False
C0947,2025-03-22,125.26,Paid,53.02,356,141,False
C0705,2024-10-23,86.24,Paid,23.87,129,142,False
C0307,2025-05-18,188.76,Due,24.57,82,37,False
C0537,2024-08-28,130.41,Paid,69.47,39,186,True
C0423,2025-04-18,148.84,Paid,19.44,295,52,True
C0815,2025-01-07,97.29,Overdue,74.72,70,34,True
C0855,2024-11-18,119.4,Overdue,31.09,321,143,False
C0852,2025-01-26,46.11,Overdue,96.12,155,103,False
C0489,2025-01-09,85.38,Paid,50.54,71,175,False
C0198,2024-07-28,152.96,Due,55.08,249,158,True
C0843,2025-02-23,172.03,Due,33.3,372,27,True
C0907,2024-06-30,19.88,Overdue,2.9,416,143,False
C0931,2024-09-28,133.75,Overdue,25.53,114,60,False
C0879,2024-08-09,155.2,Paid,32.5,101,42,True
C0541,2024-12-06,148.5,Due,7.65,53,80,False
C0076,2024-09-09,46.62,Paid,83.13,56,161,False
C0727,2025-03-07,194.88,Due,73.93,171,195,True
C0858,2025-01-13,176.32,Overdue,11.87,435,162,True
C0289,2024-08-13,95.11,Paid,4.71,492,92,True
C0057,2025-01-03,118.88,Paid,52.96,431,182,False
C0454,2024-10-31,41.97,Due,20.79,259,138,False
C0722,2024-11-23,189.77,Due,27.87,93,198,False
C0862,2024-07-24,26.12,Paid,45.72,112,189,False
C0767,2024-11-29,184.63,Overdue,79.07,499,165,False
C0076,2025-04-11,95.58,Overdue,79.64,205,62,False
C0197,2024-10-07,183.47,Due,89.52,38,150,True
C0150,2025-03-28,199.81,Paid,81.38,449,52,False
C0007,2025-02-17,57.43,Due,68.73,9,69,False
C0218,2025-01-11,10.59,Overdue,27.19,122,154,True
C0227,2024-08-08,42.0,Due,60.82,44,149,False
C0800,2024-07-25,172.63,Overdue,99.94,53,36,False
C0181,2025-03-30,108.02,Due,49.95,55,145,True
C0730,2024-10-18,140.48,Due,34.6,219,131,False
C0322,2024-10-04,36.41,Overdue,89.33,446,137,False
C0018,2025-04-01,14.31,Overdue,74.82,171,4,True
C0638,2025-03-28,182.33,Paid,21.33,490,43,False
C0738,2024-12-31,52.21,Paid,10.49,474,167,True
C0559,2024-10-01,140.64,Paid,70.66,416,176,False
C0788,2024-06-29,142.06,Due,14.34,180,39,True
C0764,2025-02-14,112.09,Overdue,56.73,127,73,False
C0783,2024-10-17,101.74,Due,76.42,219,196,True
C0718,2025-05-30,111.91,Paid,10.53,249,145,False
C0247,2024-07-09,143.81,Paid,52.07,358,113,False
C0786,2025-03-08,88.8,Due,73.27,480,6,False
C0564,2024-12-07,48.27,Paid,11.43,480,28,True
C0917,2025-04-04,54.62,Paid,4.39,410,88,True
C0683,2024-10-09,30.99,Paid,44.39,409,3,True
C0651,2024-08-10,16.92,Overdue,34.91,166,93,True
C0433,2025-04-24,90.76,Due,25.19,372,71,False
C0651,2025-04-28,47.01,Paid,31.55,494,13,False
C0114,2024-12-18,92.78,Paid,32.62,237,4,True
C0111,2024-06-14,164.4,Overdue,99.27,487,86,False
C0852,2024-12-17,172.44,Overdue,25.11,450,150,True
C0786,2025-03-29,110.91,Due,95.28,171,33,True
C0019,2024-09-17,84.86,Due,27.47,392,148,False
C0601,2025-03-08,166.5,Paid,23.25,98,162,True
C0595,2025-04-23,152.71,Overdue,27.92,489,150,False
C0166,2024-10-17,149.3,Overdue,5.8,193,177,False
C0698,2025-03-20,39.75,Due,76.31,311,37,False
C0043,2024-09-14,126.02,Paid,90.99,479,200,True
C0147,2024-11-01,112.66,Due,62.83,35,51,False
C0499,2025-04-21,163.9,Due,40.76,142,67,True
C0091,2024-09-23,107.27,Overdue,83.41,360,162,False
C0578,2025-02-09,70.31,Paid,30.7,442,84,False
C0705,2024-06-20,136.0,Overdue,73.11,102,112,True
C0338,2024-08-03,119.43,Due,50.79,249,172,True
C0052,2025-05-03,175.15,Paid,43.43,189,143,True
C0302,2024-11-25,105.46,Overdue,6.09,10,88,False
C0491,2024-09-21,86.05,Due,23.76,145,91,False
C0691,2024-11-09,126.51,Overdue,87.66,250,118,False
C0144,2024-08-09,133.4,Due,33.36,475,171,False
C0488,2025-01-01,46.58,Due,93.45,429,44,False
C0054,2024-08-14,171.31,Paid,92.05,127,89,True
C0072,2025-05-20,191.37,Overdue,88.22,386,193,True
C0658,2025-05-26,102.83,Due,65.63,448,5,False
C0541,2024-12-27,106.37,Paid,22.74,432,161,True
C0135,2025-03-28,145.4,Overdue,39.57,335,164,True
C0951,2025-04-13,178.74,Overdue,45.88,430,73,True
C0543,2025-04-29,26.96,Due,5.46,194,48,False
C0707,2024-08-04,195.48,Overdue,49.05,404,60,False
C0322,2025-01-02,148.3,Overdue,68.45,449,174,False
C0657,2025-03-29,21.06,Overdue,1.65,452,162,False
C0521,2024-07-16,52.39,Due,84.34,280,114,True
C0360,2024-06-07,86.86,Overdue,88.67,4,179,False
C0220,2024-09-22,107.02,Paid,47.7,356,159,False
C0707,2025-02-21,169.69,Overdue,30.69,74,62,False
C0202,2024-07-16,167.49,Overdue,52.45,156,185,True
C0394,2024-10-12,161.47,Overdue,82.26,186,120,True
C0452,2024-10-08,99.34,Due,67.8,272,63,True
C0041,2024-08-16,95.35,Due,27.19,380,38,True
C0797,2024-07-17,184.69,Due,82.86,137,83,True
C0675,2024-07-31,180.94,Overdue,38.9,483,176,False
C0555,2025-01-26,48.84,Due,6.93,296,21,False
C0797,2025-03-03,102.26,Paid,41.77,101,159,True
C0314,2025-05-21,106.42,Paid,62.91,273,70,True
C0097,2024-10-12,107.8,Overdue,33.42,484,22,False
C0026,2024-06-20,139.59,Paid,53.32,204,35,False
C0689,2025-03-02,65.18,Paid,88.63,195,101,False
C0572,2024-10-17,127.59,Due,57.01,43,150,False
C0776,2025-01-19,14.7,Paid,8.32,322,191,True
C0590,2024-08-23,124.4,Overdue,92.53,162,9,True
C0394,2024-10-13,161.89,Due,20.68,361,28,True
C0415,2024-08-04,24.87,Paid,66.78,264,51,False
C0418,2024-11-23,66.08,Overdue,88.05,364,74,False
C0249,2024-11-09,61.23,Overdue,76.54,70,178,True
C0942,2025-01-09,143.08,Paid,39.4,126,55,False
C0445,2025-02-14,93.66,Due,91.38,475,185,True
C0024,2025-05-03,178.44,Overdue,60.89,62,34,False
C0106,2025-04-28,47.59,Paid,92.98,28,117,False
C0137,2024-09-04,174.22,Overdue,38.2,71,181,True
C0669,2024-10-20,11.39,Paid,53.08,106,21,False
C0426,2025-03-20,72.04,Paid,87.77,70,173,False
C0468,2024-07-24,141.55,Paid,99.5,96,49,False
C0447,2024-07-17,93.39,Due,84.94,93,47,True
C0276,2024-06-27,37.9,Overdue,56.51,353,128,False
C0758,2024-06-18,163.46,Paid,41.02,172,76,False
C0678,2025-01-08,88.31,Due,27.23,500,109,True
C0934,2025-04-02,114.3,Overdue,61.13,263,63,True
C0505,2024-09-24,93.38,Paid,62.37,169,15,True
C0948,2025-05-06,129.57,Paid,15.57,189,178,True
C0218,2025-01-20,101.15,Due,45.39,397,67,False
C0201,2025-01-04,132.82,Paid,61.04,301,149,False
C0242,2025-05-25,117.0,Overdue,63.18,499,13,False
C0173,2024-08-16,64.86,Due,87.41,26,88,False
C0845,2024-08-13,92.07,Overdue,25.1,336,137,True
C0696,2024-12-14,111.05,Due,53.73,138,116,True
C0211,2025-01-06,191.32,Paid,78.44,241,104,False
C0866,2025-01-14,149.81,Due,62.34,61,160,True
C0966,2024-07-07,97.76,Due,21.83,278,103,True
C0493,2024-12-10,16.59,Due,62.5,431,116,False
C0196,2024-07-22,177.09,Paid,74.64,442,149,True
C0415,2025-02-01,163.75,Due,75.68,197,102,True
C0890,2024-12-08,170.51,Due,24.99,229,193,False
C0654,2025-02-16,187.44,Overdue,26.56,488,68,False
C0070,2025-03-30,70.96,Overdue,45.61,335,152,True
C0052,2024-06-26,64.6,Overdue,24.65,71,183,True
C0912,2024-09-02,10.58,Overdue,2.3,307,189,True
C0946,2024-08-14,135.41,Paid,55.11,230,142,True
C0610,2025-05-21,10.43,Paid,12.27,322,125,True
C0925,2024-07-26,150.54,Overdue,21.75,301,11,False
C0768,2024-10-30,157.0,Paid,52.71,467,194,True
C0839,2024-07-30,175.07,Paid,58.27,1,198,False
C0070,2025-01-15,58.82,Due,37.74,294,54,False
C0930,2024-10-09,44.76,Overdue,90.06,209,90,False
C0280,2025-02-07,127.32,Due,57.39,196,44,True
C0856,2025-02-07,47.71,Due,4.44,410,95,False
C0388,2025-02-18,58.82,Paid,50.67,22,113,False
C0415,2024-06-16,107.28,Paid,16.36,243,181,True
C0278,2025-01-03,123.68,Due,39.79,382,112,True
C0946,2025-02-17,53.81,Overdue,19.51,387,31,False
C0176,2024-09-21,113.15,Paid,74.97,441,194,True
C0907,2025-03-22,22.76,Due,70.08,25,48,True
C0354,2025-01-16,161.73,Due,99.94,484,150,True
C0725,2024-07-03,15.98,Overdue,7.37,131,117,True
C0667,2024-08-22,174.95,Paid,16.8,33,65,False
C0075,2025-03-22,128.31,Overdue,18.29,346,161,True
C0822,2024-08-16,188.87,Due,53.31,34,179,False
C0705,2024-11-24,157.53,Overdue,6.52,184,52,True
C0933,2024-08-12,48.47,Due,92.48,116,86,False
C0810,2024-12-15,170.22,Overdue,58.44,443,131,False
C0920,2024-11-17,147.91,Overdue,80.99,178,174,False
C0233,2025-02-23,113.05,Due,38.43,326,199,False
C0969,2025-04-28,61.21,Paid,57.48,371,28,True
C0970,2024-06-11,132.31,Paid,36.66,496,138,False
C0331,2024-08-30,103.58,Overdue,44.05,222,113,True
C0217,2024-08-03,163.48,Due,63.97,102,190,True
C0184,2025-02-23,83.91,Paid,23.46,212,135,True
C0711,2025-05-19,183.06,Paid,77.92,304,92,False
C0233,2024-12-27,44.75,Overdue,50.97,132,50,True
C0126,2024-08-20,92.34,Paid,72.43,231,132,True
C0711,2024-11-25,138.23,Paid,29.71,485,158,True
C0229,2025-05-25,59.99,Paid,75.57,8,94,True
C0258,2024-10-14,53.14,Overdue,92.53,461,162,False
C0560,2025-03-22,43.92,Due,29.61,233,192,True
C0630,2024-09-19,139.09,Due,97.6,101,180,False
C0438,2025-01-05,105.88,Overdue,57.54,473,171,True
C0902,2024-10-19,192.44,Due,2.63,463,188,True
C0987,2025-03-09,192.85,Overdue,55.73,422,167,True
C0000,2024-12-06,188.52,Overdue,88.83,56,123,True
C0928,2024-06-20,116.73,Due,47.46,448,78,False
C0251,2025-02-16,107.76,Paid,5.83,248,107,True
C0614,2025-02-22,88.7,Due,87.66,123,122,False
C0213,2025-05-14,177.62,Overdue,39.4,377,109,False
C0672,2024-07-30,186.0,Paid,46.94,404,48,False
C0486,2024-09-07,51.36,Due,84.91,7,83,False
C0492,2024-11-14,53.21,Overdue,39.48,306,21,True
C0801,2025-02-16,59.05,Overdue,74.01,438,44,True
C0036,2025-03-22,136.65,Overdue,95.65,500,163,False
C0443,2025-05-14,35.62,Paid,90.89,108,50,True
C0557,2024-06-23,16.98,Overdue,14.52,265,103,True
C0550,2024-09-02,78.9,Paid,82.09,468,124,True
C0510,2024-06-09,141.24,Paid,7.25,33,155,False
C0576,2025-02-17,26.67,Due,65.01,5,166,True
C0712,2025-05-28,186.25,Due,41.48,266,134,False
C0096,2024-08-31,39.97,Overdue,76.14,287,3,False
C0246,2025-04-26,130.82,Overdue,7.96,480,36,True
C0377,2024-08-04,147.07,Overdue,2.11,321,42,True
C0747,2025-02-01,163.64,Paid,1.16,120,28,False
C0959,2024-06-04,14.52,Paid,43.33,279,43,True
C0737,2025-01-06,181.39,Paid,2.31,119,52,True
C0348,2025-01-15,110.03,Paid,90.24,443,49,False
C0264,2024-07-02,51.89,Due,79.66,256,49,False
C0857,2024-12-07,58.86,Paid,88.07,306,103,True
C0088,2024-07-30,62.84,Due,22.34,299,193,True
C0650,2025-01-12,185.21,Overdue,36.92,209,171,True
C0398,2024-08-09,74.07,Overdue,81.06,254,78,True
C0990,2025-04-04,39.61,Paid,58.26,115,121,True
C0299,2024-10-15,54.97,Paid,30.82,254,51,True
C0746,2025-05-04,192.97,Due,74.91,409,148,True
C0118,2024-07-14,175.22,Due,80.43,426,42,True
C0696,2025-04-30,184.21,Paid,12.1,311,77,False
C0532,2024-12-03,159.96,Due,29.08,351,107,True
C0818,2024-07-27,61.25,Due,89.41,159,47,True
C0038,2024-12-27,13.28,Paid,92.11,383,42,False
C0342,2024-10-22,148.35,Paid,98.77,130,7,False
C0064,2024-11-21,126.9,Due,67.43,423,43,True
C0243,2024-12-30,173.73,Due,28.07,175,67,True
C0445,2024-12-03,54.76,Paid,92.66,60,45,True
C0266,2025-03-16,137.67,Overdue,58.42,477,161,False
C0175,2024-11-11,41.26,Due,36.35,451,47,True
C0443,2024-06-09,135.27,Due,38.39,394,137,True
C0928,2025-03-10,132.68,Paid,80.85,191,169,True
C0469,2024-12-16,183.66,Due,52.99,44,129,False
C0236,2024-11-27,32.71,Due,24.82,201,122,False
C0719,2024-08-13,46.53,Overdue,86.32,63,19,True
C0159,2024-10-23,30.79,Overdue,21.04,452,133,True
C0115,2025-05-16,24.53,Paid,36.62,340,30,True
C0794,2024-09-03,181.78,Overdue,84.3,294,47,False
C0688,2024-11-14,174.54,Due,12.19,6,14,True
C0314,2024-11-29,44.41,Due,87.83,382,122,True
C0796,2025-03-07,101.37,Overdue,54.64,450,13,False
C0445,2025-04-04,63.78,Paid,62.4,116,190,False
C0508,2025-01-12,14.27,Due,71.41,329,164,True
C0797,2024-10-22,58.08,Overdue,78.77,307,72,False
C0813,2024-09-11,72.05,Paid,51.85,394,109,True
C0292,2024-08-04,123.1,Due,40.62,114,129,False
C0800,2024-12-07,61.18,Paid,74.05,483,181,True
C0682,2024-10-12,141.5,Paid,83.87,396,99,False
C0615,2025-04-28,127.9,Due,31.61,209,55,False
C0021,2025-05-25,136.71,Due,93.66,420,9,False
C0669,2024-10-07,66.53,Due,83.78,283,26,False
C0554,2024-08-06,154.44,Due,38.52,127,156,False
C0053,2024-11-01,191.89,Due,1.39,399,28,True
C0469,2025-01-30,16.11,Paid,77.1,328,56,True
C0129,2024-09-09,64.59,Overdue,21.85,90,99,True
C0229,2025-05-06,160.83,Due,36.79,314,109,True
C0472,2024-08-18,66.33,Due,91.67,500,120,False
C0253,2024-11-06,193.86,Paid,48.38,141,37,False
C0651,2025-02-04,81.6,Due,87.5,311,95,True
C0347,2025-05-31,144.33,Paid,35.26,205,119,True
C0422,2025-04-13,67.95,Overdue,7.48,18,17,False
C0601,2024-12-17,174.6,Paid,92.21,409,17,True
C0237,2025-04-12,77.56,Due,28.24,84,112,False
C0110,2025-04-04,181.29,Overdue,61.11,114,175,True
C0041,2025-01-15,59.91,Overdue,60.43,40,104,True
C0102,2024-10-20,173.57,Overdue,42.36,56,104,False
C0575,2024-12-16,193.61,Overdue,6.47,191,102,False
C0912,2024-08-11,115.1,Overdue,9.3,80,116,False
C0912,2024-10-16,181.27,Due,47.48,285,65,True
C0943,2024-12-23,111.73,Paid,40.05,183,114,False
C0132,2025-03-01,102.48,Due,46.31,248,38,False
C0476,2025-02-23,133.56,Paid,29.86,129,143,False
C0759,2024-10-04,115.53,Due,9.54,165,186,True
C0973,2024-09-21,68.31,Due,36.48,230,53,False
C0909,2025-04-24,195.75,Overdue,64.49,253,167,False
C0197,2025-03-19,144.33,Overdue,16.5,246,168,False
C0662,2024-10-28,87.87,Due,74.65,73,106,True
C0926,2025-02-10,144.66,Due,40.81,376,183,True
C0190,2025-04-17,158.5,Overdue,65.5,96,200,True
C0406,2024-11-17,60.69,Paid,47.13,96,11,False
C0764,2025-05-12,87.5,Due,25.58,206,33,True
C0253,2024-06-24,89.04,Paid,44.74,126,192,False
C0695,2025-05-16,119.11,Paid,68.42,303,148,True
C0410,2024-10-20,127.49,Overdue,48.05,282,184,True
C0169,2024-11-19,164.7,Paid,75.14,464,198,True
C0919,2025-03-10,144.44,Due,47.54,85,196,True
C0231,2024-12-21,136.59,Overdue,53.28,362,103,True
C0461,2024-08-29,177.35,Overdue,37.18,161,183,False
C0044,2025-05-19,13.97,Due,89.68,209,165,False
C0311,2025-01-08,14.5,Paid,6.0,373,91,False
C0383,2024-11-23,78.59,Overdue,97.22,46,176,True
C0790,2024-07-29,51.65,Due,72.01,296,151,False
C0315,2024-12-28,12.72,Overdue,59.74,321,25,False
C0991,2024-08-07,198.93,Paid,47.51,316,168,False
C0474,2025-03-30,104.86,Due,62.65,256,146,True
C0260,2024-07-10,179.94,Overdue,59.74,142,69,False
C0032,2024-11-07,83.7,Overdue,69.76,467,112,True
C0983,2024-11-14,114.01,Due,77.54,87,188,True
C0849,2025-02-02,148.34,Paid,73.37,141,18,False
C0671,2025-04-26,102.26,Overdue,5.5,426,111,False
C0894,2024-12-03,39.13,Due,5.88,499,50,False
C0552,2025-02-11,23.76,Due,45.45,398,148,True
C0863,2025-01-24,191.4,Due,82.25,483,6,True
C0294,2025-01-16,160.86,Due,7.8,443,117,False
C0038,2025-01-24,112.89,Due,62.04,262,132,False
C0726,2024-09-02,27.58,Paid,69.41,73,158,False
C0003,2024-12-23,104.28,Overdue,10.32,491,161,False
C0999,2025-05-06,180.62,Paid,57.32,383,137,True
C0656,2024-12-22,17.01,Due,16.28,39,17,True
C0420,2024-11-01,144.01,Paid,62.89,252,128,True
C0782,2024-11-19,59.29,Due,93.66,398,3,False
C0031,2025-05-18,73.02,Due,50.39,395,100,False
C0745,2024-07-22,64.11,Due,23.06,310,29,False
C0572,2025-03-28,12.77,Overdue,31.99,115,105,False
C0702,2025-01-02,97.21,Overdue,3.43,292,50,False
C0322,2024-08-22,86.34,Overdue,48.41,302,51,True
C0438,2024-06-27,181.71,Due,78.23,52,104,False
C0229,2025-04-10,113.63,Overdue,61.15,261,39,True
C0587,2025-02-25,143.06,Due,32.53,346,182,False
C0856,2025-03-03,78.39,Due,80.24,463,193,False
C0907,2025-03-11,148.9,Paid,51.04,288,199,True
C0977,2024-12-29,186.84,Paid,26.87,245,19,True
C0344,2024-08-09,128.68,Paid,99.05,198,192,True
C0144,2024-09-10,54.23,Paid,80.97,348,132,False
C0733,2024-10-20,40.71,Overdue,97.18,199,54,False
C0770,2025-04-07,164.02,Overdue,22.59,134,11,True
C0283,2024-11-23,52.46,Overdue,63.77,187,164,False
C0179,2024-08-21,50.32,Due,51.67,239,38,False
C0802,2025-04-16,92.57,Overdue,40.33,28,10,True
C0263,2024-11-17,72.2,Paid,91.06,127,47,False
C0332,2025-04-23,61.1,Paid,41.9,91,137,True
C0315,2024-10-08,32.94,Due,76.36,286,174,True
C0230,2024-10-25,116.39,Paid,68.24,438,17,True
C0601,2025-01-01,50.75,Overdue,68.08,491,128,False
C0460,2024-12-27,56.82,Paid,38.51,403,173,False
C0258,2025-05-21,198.33,Paid,17.62,229,26,False
C0428,2025-03-21,184.03,Due,29.89,428,1,False
C0451,2025-01-23,61.33,Overdue,49.6,214,5,True
C0542,2024-12-09,174.92,Due,33.27,74,113,False
C0357,2024-09-16,116.94,Paid,45.88,8,26,True
C0505,2025-03-29,165.29,Overdue,39.76,80,128,False
C0315,2025-05-18,173.14,Paid,51.5,346,89,True
C0228,2024-08-21,176.11,Overdue,47.22,180,162,True
C0558,2024-10-27,41.78,Overdue,16.25,453,149,True
C0120,2025-05-05,111.0,Paid,8.1,477,41,True
C0526,2024-07-13,188.88,Overdue,56.12,220,133,False
C0910,2024-06-20,30.09,Paid,94.46,182,101,True
C0955,2025-06-01,51.0,Due,99.59,140,90,True
C0033,2024-11-11,79.34,Paid,41.64,303,187,False
C0907,2025-02-07,116.43,Paid,48.39,114,123,True
C0867,2024-10-08,101.06,Overdue,2.32,228,118,False
C0670,2025-05-22,158.72,Paid,99.63,494,144,True
C0984,2024-10-02,81.98,Overdue,63.67,357,179,True
C0408,2024-09-01,127.72,Due,88.84,416,50,True
C0599,2024-08-31,183.6,Overdue,49.03,220,200,False
C0676,2025-03-06,120.54,Paid,84.87,347,147,True
C0479,2025-03-22,165.97,Due,55.36,220,79,False
C0716,2024-12-30,51.53,Paid,69.12,96,85,False
C0836,2024-06-28,62.16,Overdue,29.19,21,41,False
C0013,2025-01-21,118.95,Overdue,78.96,282,100,False
C0421,2024-11-26,150.5,Overdue,76.39,369,185,True
C0448,2024-06-20,164.87,Paid,50.68,295,141,False
C0810,2024-10-14,132.79,Due,59.39,34,41,False
C0874,2025-03-07,17.38,Due,66.66,267,5,True
C0546,2025-03-13,84.75,Due,88.25,157,47,True
C0528,2025-01-07,25.26,Overdue,11.95,49,90,True
C0665,2025-05-22,19.33,Paid,42.1,170,57,True
C0915,2025-03-24,112.57,Overdue,17.05,492,113,True
C0676,2025-05-28,137.34,Paid,42.04,183,97,False
C0732,2024-10-21,172.41,Overdue,11.5,333,79,True
C0672,2025-03-18,66.05,Overdue,71.21,65,91,True
C0214,2024-06-19,125.82,Overdue,33.7,405,41,False
C0186,2025-01-07,22.44,Overdue,25.94,488,119,False
C0652,2025-04-19,165.72,Overdue,60.98,109,185,True
